idx,name,prior,geometric,delta
1,Jxx1,0.029199111123,0.0997756463536713,0.0705765352306713
2,Jxy1,4.73883e-05,-0.00139542563977989,-0.00144281393977989
3,Jxz1,-1.844516e-05,0.000496647203855145,0.000515092363855145
4,Jyy1,0.007201723248,0.014471785455938,0.007270062207938
5,Jyz1,0.00529860844,0.0274827493464219,0.0221841409064219
6,Jzz1,0.024429582275,0.0877673411183061,0.0633377588433061
7,mx1,0.00027,-0.0080382740754598,-0.0083082740754598
8,my1,-0.1132425,-0.474998241786489,-0.361755741786489
9,mz1,0.054756,0.177955856815107,0.123199856815107
10,m1,0.75,2.79251837723032,2.04251837723032
11,Jxx2,0.010470833733,0.0453109477528,0.0348401140198
12,Jxy2,0.0036933553235,0.00185585411268808,-0.00183750121081192
13,Jxz2,0.0044634060975,0.0015936430665876,-0.0028697630309124
14,Jyy2,0.009917776037,0.00847583052812341,-0.00144194550887659
15,Jyz2,-0.0041807685425,-0.014913203177844,-0.010732434635344
16,Jzz2,0.011399161545,0.0405683511148095,0.0291691895698095
17,mx2,0.0433535,0.0174375665235817,-0.0259159334764183
18,my2,-0.0507105,-0.256660195375774,-0.205949695375774
19,mz2,-0.0451925,-0.103836507822624,-0.0586440078226235
20,m2,0.5,1.73974792190052,1.23974792190052
21,Jxx3,0.010598537148495,0.0353076515414411,0.0247091143929461
22,Jxy3,-9.53102905e-06,0.0142566378639219,0.0142661688929719
23,Jxz3,-1.53432872e-05,-0.00998082283094421,-0.00996547954374421
24,Jyy3,0.00816931596406,0.0210933549831891,0.0129240390191291
25,Jyz3,-0.00456308705544,0.0161136054388152,0.0206766924942552
26,Jzz3,0.003856399187435,0.0330584804735882,0.0292020812861532
27,mx3,-0.00014445,-0.181524921351445,-0.181380471351445
28,my3,-0.038107515,0.295705332528787,0.333812847528787
29,mz3,-0.06189736,-0.207026320157204,-0.145128960157204
30,m3,0.535,3.76497890932792,3.22997890932792
31,Jm1,0.01,0.443758945576679,0.433758945576679
32,Jm2,0.01,0,-0.01
33,Jm3,0.01,0,-0.01
34,b1,0.01,0,-0.01
35,b2,0.01,0,-0.01
36,b3,0.01,0,-0.01
37,fc1,0.1,4.81996043170266,4.71996043170266
38,fc2,0.1,1.77466867625859,1.67466867625859
39,fc3,0.1,1.49877080148311,1.39877080148311
